numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X2175881;nan;Eau Claire, Rivière à l';Saint-Alexis-des-Monts;Maskinongé;Faible contenance;46.545667;-73.088222;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175890;nan;;Amqui;La Matapédia;Faible contenance;48.457056;-67.423722;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175892;Lusignan, Digue;;Saint-Guillaume-Nord;Matawinie;Forte contenance;46.635835;-74.113335;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175893;nan;Trib.48D.41M.28S.-72D.30M.34S.;Saint-Félicien;Le Domaine-du-Roy;Faible contenance;48.690833;-72.531333;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175902;nan;;Saint-Hippolyte;La Rivière-du-Nord;Faible contenance;45.960064;-73.974719;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175907;nan;;Bolton-Ouest;Brome-Missisquoi;Faible contenance;45.234517;-72.436036;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175908;nan;;Bolton-Ouest;Brome-Missisquoi;Faible contenance;45.234406;-72.436861;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176084;nan;;Bolton-Ouest;Brome-Missisquoi;Faible contenance;45.233722;-72.438936;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176085;nan;;Bolton-Ouest;Brome-Missisquoi;Faible contenance;45.233731;-72.439153;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176088;nan;;Saint-Jérôme;La Rivière-du-Nord;Faible contenance;45.812589;-74.043244;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176089;nan;;Val-des-Monts;Les Collines-de-l'Outaouais;Faible contenance;45.656519;-75.771411;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176090;nan;;Val-des-Monts;Les Collines-de-l'Outaouais;Faible contenance;45.656464;-75.771533;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176092;nan;;Val-David;Les Laurentides;Petit barrage;46.069119;-74.189478;https://www.cehq.gouv.qc.ca/barrages/default.asp
